headline,text,answer_summary
ВСУ атаковали Крым,"ВСУ атаковали Россию десятками дронов. Об этом сообщило Минобороны России в Telegram. Одной из целей массированного налета стал Крым — в небе над полуостровом было перехвачено 12 беспилотников. Еще 12 дронов средства противовоздушной обороны уничтожили над Белгородской, Брянской и Курской областями. Почти половина из запущенных по России беспилотников не достигла суши и была сбита над акваторией Азовского и Черного морей. Тем временем Российская армия продолжает наступление в зоне СВО. 10 февраля военное ведомство отчиталось о переходе под контроль населенного пункта Зализничное Запорожской области.",Над полуостровом перехвачено 12 беспилотников в ходе массированной атаки
В России высказались об изменении статуса русского языка в Казахстане,"Изменение статуса русского языка в Конституции Казахстана может вызвать отток россиян из страны, считает первый зампред комитета Госдумы по делам Содружества Независимых Государств (СНГ), евразийской интеграции и связям с соотечественниками Виктор Водолацкий. Своим мнением депутат поделился в разговоре с «Лентой.ру». «То, что происходят изменения в Конституции [Казахстана], — это внутреннее дело государства, которое решает, как должны звучать те или иные статьи основного закона, по которому живет республика. Формулировки о русском языке — это право народа, который за это голосует», — заявил Водолацкий. При этом депутат отметил, что изменения в Конституции Казахстана отразятся на проживающих в стране гражданах. Он добавил, что особенно ощутимо это может быть для тех, кто использовал русский язык не только в повседневной жизни, но и в документах. Так, для многих пенсионеров, по словам политика, русский язык в документах был огромной помощью. «Теперь же любой чиновник может сказать, что он может писать объявления, отправлять квитанции только на казахском языке. Поэтому, конечно, эта формулировка имеет двойственный характер. С одной стороны, русский язык остается вторым языком в структуре власти Казахстана. С другой стороны, чиновники, особенно молодые, которые не очень хорошо знают историю наших длительных отношений, на основании изменений Конституции теперь могут выбирать, применять русский язык или не применять», — объяснил Водолацкий. Естественно, это будет являться дискомфортом для русских, которые проживают на территории Казахстана, и это может повлечь отток русского населения из Республики Казахстан 9 февраля в проекте Конституции Казахстана изменили формулировку о русском языке. Так, в девятой статье было написано, что в госорганизациях и органах местного самоуправления наравне с казахским официально употребляется русский язык. Сообщается, что теперь вместо слова «наравне» будет указано «наряду». Позднее казахстанский политолог Данияр Ашимбаев заявил, что новая формулировка о статусе русского языка в Конституции Казахстана понижает его статус.",Изменение статуса русского языка может вызвать отток россиян из Казахстана
В России оценили вероятность диалога с Европой,"Заместитель председателя Совета Федерации Константин Косачев оценил вероятность диалога России и Европы по вопросу украинского кризиса. По его мнению, это возможно, если взаимодействие будет двусторонним, передает ТАСС. Сенатор подчеркнул, что принятие Россией ультимативных условий по урегулированию конфликта на Украине неприемлемо. «Как только восторжествует древнеримский принцип ""Да будет выслушана и другая сторона"", тогда будут и подвижки. Во всяком случае Россия точно готова к разговору, если он будет двусторонним. А это пока очень непривычно для Европы», — обозначил Косачев, добавив, что слабость современной Европы заключается в отсутствии дипломатии. Российский политик призвал к эффективному взаимодействию между странами без громких высказываний. «Если не можете перековать мечи на орала, то попробуйте хотя бы сменить мегафоны на кулуары. Ведь мир обычно рождается в тишине», — заключил он. Ранее в Кремле подтвердили, что между Москвой и Парижем действительно были контакты, которые при желании помогут наладить диалог на высшем уровне.","Диалог возможен, если Европа откажется от ультиматумов и услышит Россию"
В России объяснили исчезновение страны из списка угроз США,"Исчезновение России из списка угроз США в докладе Пентагона не должно вводить в заблуждение, заявил в разговоре с «Лентой.ру» депутат Госдумы Алексей Чепа. Он отметил, что в экономическом отношении главным соперником страны всегда был Китай. «Нужно смотреть на действия, а не на слова. И пока со стороны США мы видим не так много действий в нужном направлении. Понятно, что идут переговоры. Но, если бы Украина не использовала американские разведданные, связь, частично вооружения и запчасти, наверное, ситуация была бы совсем другой», — сказал депутат. Он добавил, что основной угрозой для США в экономическом и многих других отношениях действительно является не Россия, а Китай. Тем не менее он призвал не заблуждаться в отношении позиции США. «Естественно, после ухода от власти демократов вектор наших отношений сильно изменился. И что-то действительно двигается в правильном направлении. Но расслабляться, входить в заблуждения не нужно», — заключил Чепа. Ранее стало известно, что в новом докладе Пентагона о результатах первого года политики «мир через силу» Россия не указана как цель политики США по сдерживанию противников и конкурентов. Такими целями названы Китай, Иран и Венесуэла.",Это не должно вводить в заблуждение; главным соперником США остается Китай
Госдума в первом чтении приняла закон об обязательном ДНК-тесте для военнослужащих,"Госдума в первом чтении приняла закон об обязательном ДНК-тесте для военнослужащих. Об этом сообщает РИА Новости. Согласно инициативе предлагается ввести обязательную геномную регистрацию отдельных категорий военнослужащих, в том числе пребывающих в добровольческих формированиях бойцов, и сотрудников органов внутренних дел. Как следует из проекта закона геномная информация о военных будет храниться до достижения ими возраста 100 лет, а в случае смерти — до установления личности. При этом в случае увольнения указанных лиц со службы или исключения из добровольческих формирований геномная информация может быть уничтожена по их заявлению. Ранее уполномоченный по правам человека в России Татьяна Москалькова поддержала инициативу, отметив, что в случаях, когда боец специальной военной операции (СВО) получил тяжелое ранение или без вести пропал, с помощью ДНК можно будет установить личность.",Госдума в первом чтении приняла закон об обязательном ДНК-тесте для военнослужащих
Российский военный рассказал о ловушках для ВСУ в зоне СВО,"Российские операторы беспилотных летательных аппаратов создают минные поля по маршрутам снабжения Вооруженных сил Украины (ВСУ). О ловушках в зоне проведения специальной военной операции (СВО) рассказал боец с позывным Кизляк, его слова приводятся в официальном Telegram-канале Минобороны. «Наша задача — не дать противнику расслабиться. Мы не гоняемся за каждой машиной, мы делаем так, чтобы они сами нашли свой ""подарок""», — отметил Кизляк. По данным оборонного ведомства, в настоящий момент бойцы группировки «Восток» продолжают успешно продвигаться в глубину обороны противника на запорожском направлении. Как пояснил оператор БПЛА, для того, чтобы у противника не было шансов подвезти снаряды или смениться на позициях, его подразделения с помощью дронов превращают обычные маршруты, которыми пользуются ВСУ, в минные поля. «Такие ловушки появляются там, где их меньше всего ждут», — добавил Кизляк. Ранее сообщалось, что российские дроны уничтожили колонну ВСУ за пять минут. Для этого были подняты ударные дроны, а также наведена артиллерия и расчеты реактивной системы залпового огня.",Российские операторы БПЛА создают минные поля на маршрутах снабжения ВСУ
В российских школах захотели ввести отучающие от мата уроки,"В российских школах захотели ввести уроки по изящной словесности, которые могли бы отучить подростков от мата. С предложением выступил заместитель секретаря Общественной палаты России Владислав Гриб, передает ТАСС. По его мнению, уроки должны проводить психологи или учителя русского языка и литературы. Предполагается, что на занятиях детям расскажут, как заменить ненормативную лексику красивыми словами и выражениями. «С детьми надо говорить о том, насколько мат разрушителен, вреден и для самого ребенка, и для окружающих. Дети не должны просто зубрить грамматику, им надо с первого класса говорить о недопустимости нецензурных выражений. Надо показывать, как заменить грубые слова, развивать умение выражать свои мысли и чувства», — считает Гриб. В ОП предложили ввести такие занятия с младших классов. Ранее патриарх Кирилл призвал ввести штрафы для россиян за мат в общественном пространстве, приведя в пример советскую практику, когда за нецензурные выражения арестовывали на 15 суток.",В школах предложили ввести уроки словесности для борьбы с матом
Россиянам объяснили ситуацию с перебоями в работе Telegram,"Ситуация с перебоями в работе мессенджера Telegram является составной частью борьбы России и НАТО. Так происходящее объяснил депутат Госдумы Андрей Гурулев, его слова приводит Telegram-канал «Вы слушали маяк». По словам парламентария, он понимает, что многим россиянам ситуация с мессенджером доставляет неудобства, однако она объясняется насущной необходимостью. «Есть веление времени, угрозы и на них надо реагировать», — прокомментировал ситуацию он. О каких конкретно угрозах идет речь, Гурулев не уточнил. При этом Роскомнадзор объявил, что ограничения работы Telegram связаны не с НАТО, а с неисполнением администрацией мессенджера российского законодательства.","Депутат объяснил сбои Telegram борьбой с НАТО, а Роскомнадзор — нарушением законов"
В Совфеде высказались об отношениях с Индией после отказа страны от российской нефти,"Ничего трагического в изменчивости торгово-экономических отношений России и Индии нет, заявил председатель комитета Совета Федерации по международным делам Григорий Карасин. Так в беседе с «Лентой.ру» сенатор высказался об отношениях Москвы и Нью-Дели после отказа страны БРИКС от российской нефти. «Индия — дружественная нам страна. Мы должны всегда это помнить. В том, что касается гибкости и некой изменчивости в торгово-экономических отношениях, это бывает. В этом нет ничего трагического и невозвратного. Надо всегда стремиться к тому, чтобы экономические отношения были обоюдно выгодными, чтобы они приносили пользу партнерам, двум государствам», — рассказал Карасин. Я думаю, что, несмотря на все конъюнктурные соображения, мы остаемся верными нашим обязательствам и будем преодолевать все эти сложности, которые появляются на нашем пути Ранее агентство Reuters сообщило, что крупнейшие государственные нефтеперерабатывающие компании Индии Indian Oil и Bharat Petroleum полностью отказались от российской нефти и не интересуются предложениями о закупке с отгрузкой в марте и апреле. Такое же решение приняла частная Reliance Industries. По словам собеседников агентства, главной причиной стало заключение торгового соглашения между Индией и США, что привело к существенному снижению пошлин на индийские товары. Известно, что на прекращении закупок российской нефти настаивал президент США Дональд Трамп, который видит в этом ключ к прекращению боевых действий на Украине. Позднее, 10 февраля, стало известно, что индийская береговая охрана захватила три танкера, которые могут быть причастны к контрабанде нефти. Отмечалось, что Индия пошла на такой шаг первый раз и случилось это на фоне усилий США и Европы по ужесточению контроля за судами, перевозящими санкционную нефть.","Сенатор назвал изменения в торговле нетрагическими, а Индию — дружественной страной"
В Минобороны отчитались о сбитых над регионами России украинских БПЛА,"Российские средства противовоздушной обороны (ПВО) в период с 8:00 до 14:00 сбили 20 украинских беспилотных летательных аппаратов (БПЛА) над Белгородской и Курской областями. Об этом отчитались в Минобороны. В ведомстве пояснили, что над Белгородской областью удалось ликвидировать 8 дронов, над Курской областью — 16. Других подробностей о вражеских устройствах в Минобороны не привели. До этого губернатор Белгородской области Вячеслав Гладков заявил о жертве после атаки беспилотника в селе Нижнее Березово-Второе Шебекинского округа. Там водитель получил смертельные травмы после того, как в «Газель» угодил FPV-дрон. Губернатор Курской области Александр Хинштейн рассказал, что украинские военные атаковали объект энергетики в Рыльском районе. Без электроснабжения и частично без отопления остались населенные пункты Рыльского, Глушковского, Кореневского, Хомутовского районов — это около 28 тысяч потребителей, пояснил глава приграничного региона. 6 февраля российские силы ПВО уничтожили 38 украинских беспилотников.",Средства ПВО сбили более 20 украинских БПЛА над российскими регионами
Глава Минобороны Белоусов обратился к войскам в зоне СВО,"Глава Минобороны Андрей Белоусов обратился к войскам в зоне проведения СВО. Текст правительственной телеграммы опубликовала пресс-служба военного ведомства в Telegram. Белоусов поздравил личный состав 114-го гвардейского мотострелкового полка со взятием населенного пункта Зализничное Запорожской области. Контроль над ним был установлен 10 февраля. Министр отметил верность солдат, прапорщиков и офицеров соединения воинскому долгу и данной Родине присяге. «Вы уверенно продвигаетесь вперед на Времевском направлении, шаг за шагом приближая день нашей общей победы над неонацизмом», — говорится в телеграмме. Белоусов также выразил уверенность, что полк продолжит с честью выполнять возложенные на него задачи. Российская армия продолжает развивать наступление на всех направлениях в зоне СВО. Сообщения о переходе под российский контроль новых населенных пунктов продолжают поступать с различных участков линии боевого соприкосновения. Одним из последних в этом списке стало село Чугуновка Харьковской области. Этот регион не включен в состав Российской Федерации, наступление на указанном направлении связано с формированием полосы безопасности вдоль российских границ.",Андрей Белоусов поздравил военных со взятием населенного пункта Зализничное
В российском городе за день уволились три главврача,"В Екатеринбурге за день уволились три главврача. Об этом стало известно порталу Е1.ru от источников в медицинских кругах. По данным российского издания, речь идет об Ирине Лихачевой, которая оставила пост в «Областном клиническом медицинском центре фтизиопульмонологии и инфекционных заболеваний». Кроме того, уволились Роберт Соловьев из 6-й городской больницы и Евгений Барац из центральной городской больницы № 7. Лихачева руководила тубдиспансером на протяжении восьми лет. В свердловском Минздраве официальных причин ее ухода не назвали. Как предположили сотрудники медучреждения, увольнение Соловьева связано с обысками, которые проводились в его доме. В свою очередь, Барац оставил должность по собственному желанию. Ранее сообщалось, что главврач Чародинской больницы Дагестана уволился после интим-видео с коллегой.",В Екатеринбурге за день уволились три главных врача местных больниц
Украина бросила против российских войск «гроб на колесах» в зоне СВО,"В зоне специальной военной операции (СВО) Украина бросила против российских войск американский бронетранспортер М113, прозванный «алюминиевым гробом на колесах». Это следует из сообщения Министерства обороны России. По заявлению оборонного ведомства, с этой техникой встретились военнослужащие группировки войск «Центр». Российские бойцы уничтожили этот БТР, а также два автомобиля Вооруженных сил Украины (ВСУ). Также в боях с российскими подразделениями ВСУ потеряли почти 300 бойцов. Описывая защитные свойства брони БТР М113 военный эксперт Михаил Ходаренок заявлял, что она рвется «как бумага с предсказуемыми последствиями для людей внутри». Ранее в Минобороны раскрыли необычную черту налета ВСУ на регионы России на фоне смерти отвечавшего за удары по российским регионам офицера ГУР Руслана Петренко.",Российские военные уничтожили в зоне СВО украинский БТР М113 американского производства
В России упрекнули Дурова после сообщений о замедлении Telegram,"Зампредседателя комитета Госдумы по защите семьи, вопросам отцовства, материнства и детства Виталий Милонов упрекнул основателя Telegram Павла Дурова в нежелании предотвратить нарушения в работе мессенджера. Так в беседе с «Лентой.ру» депутат прокомментировал сообщения о замедлении работы Telegram в России. Любое ограничение — это печальная история. Я бы искренне хотел, чтобы ограничений было меньше «Кто мешает Дурову и администрации Telegram предотвращать попытки неправомерного воздействия [на пользователей] и мошеннических действий? Они могут этого не допускать. Они понимают, как это делать, но почему-то сознательно отказываются», — заметил Милонов. Ранее в СМИ появилась информация, что Роскомнадзор начнет замедлять работу Telegram в России. По данным источников на рынке информационных технологий и в профильных ведомствах, ограничительные меры введут уже во вторник, 10 февраля. Роскомнадзор пока не комментировал сообщения. Депутат Александр Ющенко рассказал «Ленте.ру», что Роскомнадзор не информировал комитет Госдумы по информационной политике о претензиях к работе мессенджера Telegram. Он также пообещал обратиться в ведомство с официальным запросом, чтобы разъяснить сообщения о замедлении мессенджера.",Депутат Виталий Милонов упрекнул Павла Дурова в нежелании пресекать мошенничество в Telegram
В Госдуме высказались о судьбе Telegram в России,"Роскомнадзор не информировал комитет Госдумы по информационной политике о претензиях к работе мессенджера Telegram, заявил в разговоре с «Лентой.ру» депутат Александр Ющенко. Он также пообещал обратиться с ведомство с официальным запросом, чтобы разъяснить сообщения о замедлении мессенджера. «Уже десяток источников распространили информацию о блокировке Telegram. Но публикуется эта информация в том же мессенджере, — сказал депутат. — У нас есть закон, в его рамках действует Роскомнадзор. И, если мы говорим об официальной стороне вопроса, то в Комитете не обсуждалась проблема с законодательной базой работы Telegram. Роскомнадзор также не информировал нас о проблемах с соблюдением закона». Ющенко добавил, что не является сторонником блокировок, поскольку они создают дополнительные неудобства для пользователей, и предложил дождаться официальных заявлений со стороны Роскомнадзора. «У нас и сотовая связь отвратительно работает, и интернет. Есть замедления, другие ограничения, связанные с безопасностью — может, проблема в этом. В любом случае, комитету Госдумы не известно о претензиях Роскомнадзора к мессенджеру. Постараемся официально запросить информацию, чтобы прояснить ситуацию», — заключил политик. Ранее в ряде СМИ появилась информация о том, что Роскомнадзор начнет замедлять работу Telegram в России. По данным источников на рынке информационных технологий и в профильных ведомствах, ограничительные меры введут уже во вторник, 10 февраля. Роскомнадзор не комментировал эти сведения.","Комитет Госдумы не информировали о претензиях к Telegram, и пообещал направить запрос в Роскомнадзор"
В России отреагировали на беспрецедентный план Евросоюза по вступлению Украины,"Рассказы о том, что Украине предоставят «частичное» членство в Евросоюзе в 2027 году — это очередная ложь и просто какой-то цинизм, заявил первый заместитель председателя комитета Совета Федерации по международным делам Владимир Джабаров. Реакцией на соответствующие сообщения он поделился с «Лентой.ру». Ранее Politico со ссылкой на европейских чиновников и дипломатов сообщила о том, что Евросоюз разрабатывает беспрецедентный план, согласно которому Украина получит место за столом переговоров объединения до того, как проведет реформы, необходимые для получения всех прав полноправного члена. «О каком членстве в Евросоюзе может идти речь? Украина — полуразрушенная страна, полностью живущая в долг, ничего толком не производящая, кроме каких-то видов вооружений и поставок пушечного мяса на фронт. Если Украину таким образом примут, то часть членов Евросоюза покинет эти ряды, потому что понятно же, что это разрушение всего Евросоюза, потому что Украина не только потянет Евросоюз на дно, она спровоцирует огромные конфликты внутри этого сообщества», — высказался сенатор. До этого агентство Bloomberg со ссылкой на источники писало, что в Евросоюзе работают над вариантами того, как включить гарантии членства Украины в объединении в возможное соглашение по урегулированию украинского кризиса.",Сенатор Владимир Джабаров назвал информацию о «частичном» членстве Украины в ЕС ложью
В России объяснили сбывающиеся предсказания Жириновского,"Ректор МГИМО Анатолий Торкунов объяснил сбывающиеся предсказания основателя ЛДПР Владимира Жириновского тем, что политик обладал интуицией, основанной на знаниях. Его слова приводит ТАСС. «Здесь интуиция, конечно, играет огромную роль, но интуиция, основанная на знаниях. Он же не Ванга. Поэтому то, что видел в будущем, — это все было результатом анализа и интуиции. Без интуиции ничего бы этого не было», — пояснил Торкунов. Ректор МГИМО обратил внимание на то, что несколько лет назад политические прогнозы Жириновского казались преувеличением с элементами экспрессии, а сейчас можно наблюдать, как они сбываются, в том числе в вопросах украинского кризиса. Ранее в России вспомнили слова Жириновского о дате окончания специальной военной операции (СВО) на Украине. Политик рассуждал, что в ходе СВО будет несколько «острых фаз», однако конфликт завершится уже в 2026 году.",Объяснил его глубокими знаниями и развитой интуицией
В Госдуме отреагировали на слова Каллас про освистывание вице-президента США,"Слова главы евродипломатии Каи Каллас про освистывание вице-президента США Джей Ди Вэнса еще раз показали ее глупость. Об этом заявил депутат Госдумы Алексей Чепа, чьи слова приводит «Газета.ru». «Еще раз Каллас показала свою человеческую, политическую глупость, свою политическую несостоятельность», — пояснил он. Во время парада наций на открытии Олимпийских игр в Милане 6 февраля часть зрителей на стадионе «Сан-Сиро» громко засвистела при появлении вице-президента США Джея Ди Вэнса. Каллас, в свою очередь, назвала освистывание вице-президента США Джея Ди Вэнса на церемонии открытия зимних Олимпийских игр проявлением «европейской гордости».",Назвали проявлением политической глупости
Зеленский дал прогноз о сроках завершения конфликта на Украине,"По его мнению, следующая встреча (переговоры сторон. — РБК) может пройти во вторник или среду — 17 или 18 февраля, там стороны сосредоточатся в том числе на «сложном вопросе территории». «Думаю, после нашей следующей встречи должно быть достигнуто взаимопонимание», — заявил Зеленский. Еще одна важная тема встречи — американская инициатива о создании в Донбассе свободной экономической зоны. «Ни одна из сторон не в восторге от идеи свободной экономической зоны — ни россияне, ни мы. У нас разные взгляды на этот вопрос. И договоренность была следующей — давайте вернемся к обсуждению того, как это может выглядеть, на следующей встрече», — сказал президент Украины. Зеленский заявил, что в ходе обсуждений «стало ясно», что любое перемирие потребует мониторинга с участием США, и следующий раунд переговоров может быть посвящен предложениям по планированию и более подробному рассмотрению экономических вопросов. С этой целью Киев направит министра экономики Алексея Соболева в состав делегации для обсуждения так называемого пакета мер по обеспечению процветания с США. «У россиян одна формулировка, у нас другая, у американцев третья. Есть понимание, что будет проводиться мониторинг, но также есть понимание, что необходимо доработать формулировки и детали», — сказал Зеленский. В декабре американский постпред при НАТО Мэттью Уитакер допускал, что окончания конфликта можно ожидать в течение 90 дней. Президент России Владимир Путин неоднократно заявлял, что Москва готова завершить конфликт мирным путем в том числе при устранении первопричин. Если Киев откажется от диалога, цели, обозначенные Москвой, будут достигнуты военным путем, подчеркнул Путин.",Конфликт завершится после взаимопонимания на следующей встрече 17–18 февраля
Politico: решение Вэнса пропустить Мюнхенскую конференцию стало облегчением для трансатлантистов,"Как напоминает издание, на Мюнхенской конференции по безопасности почти год назад вице-президент США Джей Ди Вэнс выступил с критикой европейских ценностей в своей на удивление резкой речи. С тех пор Европа неоднократно подвергалась нападкам со стороны США — от дружественного отношения администрации Дональда Трампа к европейским ультраправым партиям до жестких торговых пошлин, угроз силой аннексировать Гренландию и комментариев, которые сводили к минимуму вклад европейских военнослужащих в Афганистане и Ираке. Однако, даже несмотря на самый серьезный кризис за всю 70-летнюю историю трансатлантических отношений, связи между Вашингтоном и Европейским союзом окончательно не разорваны. В Европе ожидают, что отношения сохранятся, но, вероятно, в совершенно иной форме, пишет Politico. И в этом году Мюнхенская конференция по безопасности станет проверкой «заметно потрепанных» трансатлантических связей, предупреждает издание. Присутствие Америки на ней будет выглядеть иначе, чем в предыдущие годы. Вместо вице-президента Вэнса США на встрече будет представлять госсекретарь Марко Рубио, который, согласно Politico, традиционно подчеркивает связи трансатлантического альянса и общую культурную историю двух континентов. Решение Вэнса пропустить Мюнхенскую конференцию стало облегчением для тех, кто работает над поддержанием прочных трансатлантических отношений, отмечает издание. Европейские дипломаты сомневаются, что Рубио вслед за Вэнсом воспользуется конференцией для того, чтобы поссориться с Европой. Отсутствие Вэнса в Мюнхене расценивают как признак стремления администрации Трампа сосредоточиться на внутренней политике в преддверии промежуточных выборов в США. Мало кто ожидает серьезных публичных разногласий с американцами в Мюнхене в этом году, но Вашингтон, похоже, готов отстаивать свою позицию, если ему будет брошен вызов, пишет Politico. «Лучше заранее подготовиться внутренне. Но мы не должны позволять США помыкать собой или даже намекать на это», — сказал европейский дипломат.",Европа избежала резкой критики благодаря замене Вэнса на Рубио
